k_1: 20, k_2: 20, k_3: 75, e: 0.00500, score: 0.01052397 
k_1: 20, k_2: 20, k_3: 75, e: 0.01000, score: 0.01378484 
k_1: 20, k_2: 20, k_3: 100, e: 0.00050, score: 0.01061315 
k_1: 20, k_2: 20, k_3: 100, e: 0.00100, score: 0.00989967 
k_1: 20, k_2: 20, k_3: 100, e: 0.00500, score: 0.01014493 
k_1: 20, k_2: 20, k_3: 100, e: 0.01000, score: 0.01269231 
k_1: 20, k_2: 30, k_3: 10, e: 0.00050, score: 0.59623188 
k_1: 20, k_2: 30, k_3: 10, e: 0.00100, score: 0.59344482 
k_1: 20, k_2: 30, k_3: 10, e: 0.00500, score: 0.59024526 
k_1: 20, k_2: 30, k_3: 10, e: 0.01000, score: 0.61818841 
k_1: 20, k_2: 30, k_3: 20, e: 0.00050, score: 0.64087514 
k_1: 20, k_2: 30, k_3: 20, e: 0.00100, score: 0.30077480 
k_1: 20, k_2: 30, k_3: 20, e: 0.00500, score: 0.01253066 
k_1: 20, k_2: 30, k_3: 20, e: 0.01000, score: 0.01734671 
k_1: 20, k_2: 30, k_3: 30, e: 0.00050, score: 0.01028986 
k_1: 20, k_2: 30, k_3: 30, e: 0.00100, score: 0.01018952 
k_1: 20, k_2: 30, k_3: 30, e: 0.00500, score: 0.43529543 
k_1: 20, k_2: 30, k_3: 30, e: 0.01000, score: 0.39383501 
k_1: 20, k_2: 30, k_3: 40, e: 0.00050, score: 0.01074136 
k_1: 20, k_2: 30, k_3: 40, e: 0.00100, score: 0.01050725 
k_1: 20, k_2: 30, k_3: 40, e: 0.00500, score: 0.01058528 
k_1: 20, k_2: 30, k_3: 40, e: 0.01000, score: 0.01194537 
k_1: 20, k_2: 30, k_3: 50, e: 0.00050, score: 0.00983835 
k_1: 20, k_2: 30, k_3: 50, e: 0.00100, score: 0.00966555 
k_1: 20, k_2: 30, k_3: 50, e: 0.00500, score: 0.39076923 
k_1: 20, k_2: 30, k_3: 50, e: 0.01000, score: 0.39934783 
k_1: 20, k_2: 30, k_3: 75, e: 0.00050, score: 0.01049052 
k_1: 20, k_2: 30, k_3: 75, e: 0.00100, score: 0.00985507 
k_1: 20, k_2: 30, k_3: 75, e: 0.00500, score: 0.01062430 
k_1: 20, k_2: 30, k_3: 75, e: 0.01000, score: 0.01393534 
k_1: 20, k_2: 30, k_3: 100, e: 0.00050, score: 0.01021182 
k_1: 20, k_2: 30, k_3: 100, e: 0.00100, score: 0.00968785 
k_1: 20, k_2: 30, k_3: 100, e: 0.00500, score: 0.01001115 
k_1: 20, k_2: 30, k_3: 100, e: 0.01000, score: 0.01264214 
k_1: 20, k_2: 40, k_3: 10, e: 0.00050, score: 0.59641026 
k_1: 20, k_2: 40, k_3: 10, e: 0.00100, score: 0.59204571 
k_1: 20, k_2: 40, k_3: 10, e: 0.00500, score: 0.59015050 
k_1: 20, k_2: 40, k_3: 10, e: 0.01000, score: 0.61801561 
k_1: 20, k_2: 40, k_3: 20, e: 0.00050, score: 0.30107581 
k_1: 20, k_2: 40, k_3: 20, e: 0.00100, score: 0.30097547 
